year,qtr,y,ly,u,lyp,un,gy
1980,2,124586,11.7327515194721,10.4252119891634,11.7180876814073,11.0024711433414,0.338491424735743
1980,3,124093.3,11.7287889810165,10.9045195825168,11.720811516441,11.47572629469,-0.396253845564054
1980,4,124812,11.7345638841411,11.5401448514458,11.7235620088893,11.9475927753816,0.577490312465301
1981,1,124108,11.7289074332568,12.1681699051486,11.7263620558241,12.4168388524067,-0.565645088433619
1981,2,123971,11.7278029462674,12.7640965533999,11.7292414304895,12.8819781378036,-0.11044869894441
1981,3,124522,11.7322376861034,13.3127791872649,11.7322314969904,13.3413688255186,0.443473983604292
1981,4,124398,11.7312413819876,13.8513274756061,11.7353627203792,13.7932954335074,-0.0996304115837177
1982,1,124908,11.7353327453035,14.0353294473641,11.7386655695764,14.2360246112022,0.409136331590965
1982,2,125382,11.7391203562082,14.3093470508162,11.742167937666,14.6678592780613,0.378761090468416
1982,3,126225,11.7458213077271,14.9870147010517,11.7458956347168,15.0869769190656,0.670095151896355
1982,4,126671,11.7493484529756,15.3180755113617,11.7498725660593,15.4913309490539,0.35271452484924
1983,1,127135,11.7530047929906,15.6131925709325,11.7541225905694,15.8788123064791,0.365634001503246
1983,2,127920,11.7591603475078,15.6618034265658,11.7586692395527,16.247203645145,0.615555451719452
1983,3,128108,11.7606289371448,16.0842057627002,11.7635353456909,16.5941216065212,0.146858963698726
1983,4,128935,11.7670636803867,16.4749000818426,11.7687440486085,16.9168169569404,0.643474324183835
1984,1,130004,11.7753204981951,17.5569936753681,11.7743166714245,17.2122217653329,0.825681780846388
1984,2,129602,11.77222349488,18.1163534088837,11.7802734870278,17.4769919025821,-0.309700331512097
1984,3,130731,11.7808970558803,18.5241443916234,11.7866353956989,17.7079987220154,0.86735610002755
1984,4,130898,11.7821736729425,19.2536248456391,11.7934182664735,17.9025131779012,0.127661706218163
1985,1,132357,11.7932580963208,19.2793997517899,11.8006343819247,18.0583163155519,1.10844233783798
1985,2,132234,11.7923283594147,19.7101254776088,11.8082889967546,18.1740336250718,-0.0929736906094547
1985,3,133604,11.8026354797562,19.653004921532,11.8163827554869,18.2490537737131,1.03071203414995
1985,4,135137,11.8140443576589,19.5055209826035,11.824906327247,18.2837254861357,1.14088779026851
1986,1,135519,11.816867130874,19.3092766650537,11.8338417891129,18.279274956467,0.282277321507429
1986,2,138747,11.8404074097533,19.0819084300037,11.8431644294316,18.2376920010197,2.35402788793042
1986,3,137769,11.833333648538,18.8045881383325,11.8528389273887,18.1616101871741,-0.707376121527581
1986,4,138649.3,11.8397030023474,18.5280866228501,11.8628282390326,18.0541907175791,0.636935380940962
1987,1,141488,11.8599701868155,18.461774033845,11.8730831296122,17.9189966561028,2.02671844680733
1987,2,143605,11.8748217539316,18.2403167637208,11.8835399111038,17.7598872515539,1.4851567116084
1987,3,146571,11.8952652316767,18.1280464979661,11.8941266998941,17.5810609886025,2.04434777450544
1987,4,149569,11.9155131037983,17.7159027115973,11.9047661635219,17.3870166203638,2.02478721216472
1988,1,150050,11.9187238508685,17.5819565828688,11.915381681108,17.182594765896,0.321074707021118
1988,2,151886,11.9308855184377,17.552404743058,11.9259033486112,16.9728415980647,1.21616675691953
1988,3,154624,11.9487516424144,17.2071749341073,11.9362633508462,16.7630528908711,1.78661239766686
1988,4,154278,11.946511448795,16.3225030872913,11.9463969864839,16.5588866452816,-0.224019361932903
1989,1,157915,11.9698121925653,15.9535016175128,11.9562473593776,16.3662784385402,2.33007437702106
1989,2,159470,11.979611095742,15.3585301210539,11.9657576449192,16.1910161081667,0.979890317675824
1989,3,161605,11.9929103651845,14.8135787833298,11.9748794965216,16.038629506168,1.32992694425234
1989,4,161337,11.9912506240451,14.7654110246083,11.9835732260044,15.914128180809,-0.165974113941481
1990,1,162751,11.9999767044452,14.3813502588764,11.99181041448,15.8217560236527,0.872608040005396
1990,2,165517,12.0168291875572,14.1635602955117,11.9995674414349,15.7650389780397,1.68524831120695
1990,3,165023,12.0138401371077,13.8859238134148,12.0068257902864,15.7466027337075,-0.298905044956932
1990,4,171264,12.0509615046078,13.8185075695983,12.0135777330434,15.7680720562169,3.71213675001112
1991,1,167974,12.0315644845038,13.6855861779333,12.0198199256816,15.8299087868038,-1.93970201040159
1991,2,170022,12.0436831194241,13.7264132944238,12.0255723890337,15.9313562888997,1.21186349203501
1991,3,171306,12.0512067099685,14.2048285111565,12.0308624842818,16.0703177243058,0.752359054438223
1991,4,172158,12.0561679387877,14.4010052976441,12.0357288918146,16.2433181654514,0.496122881919803
1992,1,173876.3,12.0660994058333,14.6723784013358,12.0402230071616,16.4457167540079,0.99314670456021
1992,2,171609.3,12.0529756603717,15.2189817498086,12.0444090002569,16.6717211861041,-1.31237454616517
1992,3,171718,12.0536088754037,15.7993404252267,12.0483672137836,16.9144308213987,0.063321503202296
1992,4,170599,12.0470710523578,16.9920639636949,12.0521833445874,17.1660370574024,-0.653782304585526
1993,1,169006,12.0376894962336,18.1326317530266,12.0559463655527,17.4180343601283,-0.938155612424829
1993,2,168995,12.0376244076687,18.9334566090097,12.059742054381,17.6618084624062,-0.00650885648489918
1993,3,171028,12.0495825647705,19.6229033137949,12.0636447782306,17.8891917204362,1.19581571017573
1993,4,171672,12.0533409584563,20.0410310705176,12.0677150807305,18.0928112705101,0.375839368584607
1994,1,173093.8,12.0615889230763,20.492224292858,12.0720047166266,18.2663778186657,0.824796461994737
1994,2,173472.8,12.0637760937447,20.6309256952597,12.076556456838,18.4048197083155,0.218717066841201
1994,3,174850,12.0716837424915,20.2298048656298,12.081406562413,18.5044564369187,0.790764874683347
1994,4,175504.6,12.0754205323708,19.9392439589207,12.0865833066729,18.5629988181761,0.373678987924819
1995,1,177507.2,12.0867664504552,19.5138885732205,12.0921088861767,18.5792360085565,1.13459180844462
1995,2,178608.2,12.0929498590246,19.2069963456802,12.0979985207494,18.5528173177418,0.618340856934019
1995,3,179329.2,12.0969785018831,19.2202343978914,12.1042640911934,18.4839762132666,0.402864285850058
1995,4,180692,12.1045492033258,19.0258112771793,12.1109143228981,18.3733550245581,0.757070144272731
1996,1,181760,12.1104424145149,19.0530359520965,12.1179533877589,18.222056242409,0.589321118913766
1996,2,183102,12.1177986535958,18.8941364338981,12.1253814794721,18.0315901427695,0.735623908092364
1996,3,184671.2,12.1263322254965,18.4713381680661,12.1331940973752,17.8039863639088,0.85335719006121
1996,4,185656.45,12.1316532017973,18.0223835685984,12.1413820015399,17.5418136355278,0.532097630083328
1997,1,187541.2,12.1417538335881,17.680387707005,12.1499316633678,17.2480577822051,1.01006317908112
1997,2,189242.2,12.1507829551267,17.5329940830664,12.1588234737606,16.9260049847273,0.902912153857116
1997,3,191493.2,12.162607577834,17.037397448092,12.1680327124766,16.5792116300842,1.18246227073175
1997,4,194134,12.1763039212565,16.5214458214611,12.1775296339498,16.211613473452,1.36963434225503
1998,1,195835,12.1850277469344,15.8869361555489,12.1872811019051,15.8274326361431,0.872382567788144
1998,2,198044,12.1962445072112,15.6122734037142,12.1972532139969,15.4310848846875,1.12167602767705
1998,3,199915,12.2056475551921,15.1285100120045,12.2074106595328,15.0270231753148,0.940304798088221
1998,4,202110,12.2165673826228,14.5218625775155,12.2177174973787,14.6198137070789,1.09198274307385
1999,1,204129,12.2265074259167,13.5619209709939,12.2281366844602,14.2140861083068,0.994004329383991
1999,2,206550,12.2382977928249,12.8052408607556,12.2386304588812,13.8144087878693,1.17903669082562
1999,3,209296,12.251504796928,12.4758136515381,12.2491600404591,13.4249425514266,1.32070041030978
1999,4,211669,12.262779012768,12.2074109756944,12.2596864410949,13.0492174746843,1.12742158399985
2000,1,215056,12.2786537383109,11.8115010745533,12.2701721381624,12.6901704277856,1.58747255429219
2000,2,217749,12.2910983022817,11.3205995940607,12.2805815418927,12.350212151812,1.24445639707726
2000,3,220099.6,12.3018354501572,11.0573585107905,12.2908843635172,12.0312042194989,1.0737147875453
2000,4,222367,12.312084449054,10.7032013601252,12.3010568872422,11.7343646957334,1.02489988968522
2001,1,224728,12.3226460610021,10.1698571377687,12.3110822417034,11.4603029918346,1.05616119480594
2001,2,226389,12.3300100375584,10.002212880114,12.3209504477625,11.2089840420367,0.736397655629517
2001,3,228499,12.3392871129392,9.90414249515197,12.3306587536683,10.9795662519152,0.927707538084377
2001,4,230080,12.3461823535148,10.0119388534668,12.3402100699133,10.7704537950694,0.689524057561286
2002,1,231059,12.3504283681474,10.7853080798584,12.3496126997145,10.5793787052508,0.424601463262242
2002,2,232942,12.3585447745217,10.8483400920504,12.358878678966,10.4035989443719,0.811640637429356
2002,3,234378,12.3646904756249,11.1214047887535,12.3680205533548,10.240501180205,0.61457011031596
2002,4,236161,12.3722690548026,11.0323398693553,12.3770506598778,10.0877500437391,0.75785791777303
2003,1,238359,12.3815332195173,11.252789477865,12.385979254233,9.94356073071901,0.926416471470226
2003,2,239601,12.3867303188374,11.0374949486487,12.3948136036154,9.80673880553015,0.51970993200996
2003,3,241181,12.3933029679298,11.0521975740952,12.4035581964482,9.67690810052519,0.657264909234812
2003,4,243266,12.4019107738358,10.9042364699032,12.4122124691018,9.55446167064612,0.860780590600285
2004,1,244733,12.4079230993491,10.7914087174678,12.4207694484286,9.44065212675595,0.601232551336039
2004,2,247125,12.4176495604729,10.8190936084971,12.4292157227216,9.33757568896723,0.97264611237815
2004,3,249448,12.4270057556182,10.5292873536594,12.4375298513054,9.24817280026167,0.935619514531716
2004,4,251155,12.4338255574013,10.1433666212211,12.4456831646534,9.17630985232073,0.68198017830472
2005,1,253607,12.4435411036879,9.66799396911013,12.4536404156792,9.12665393342169,0.971554628664073
2005,2,255844,12.4523231627173,9.25530251416715,12.4613589462918,9.10447654232248,0.878205902936813
2005,3,258318,12.4619466630671,8.37678295880161,12.4687897863301,9.11538751530329,0.962350034980552
2005,4,260937,12.4720342778578,8.46203523990162,12.4758783182684,9.16509095487663,1.0087614790713
2006,1,263925,12.4834202508579,8.54024819157072,12.482565647629,9.25882933570738,1.13859730000847
2006,2,266483,12.4930657306847,8.32882037933971,12.4887904774089,9.40140572263835,0.964547982681374
2006,3,268959,12.5023142306105,8.04839015786627,12.494492044732,9.59717406729746,0.924849992583709
2006,4,271544,12.5118794678405,8.03452181334378,12.4996122587556,9.84981795547292,0.956523722995506
2007,1,274029,12.5209892191857,7.93477214423836,12.5040979175032,10.1620529830095,0.910975134516967
2007,2,276485,12.529911848925,7.80190014114673,12.507903486004,10.5354601856633,0.892262973937541
2007,3,278605,12.537550287044,7.99737759087646,12.5109939863506,10.9702285486661,0.763843811899712
2007,4,280395,12.5439546023145,8.35157275564928,12.5133481958626,11.4648385822219,0.640431527049934
2008,1,281001,12.5461135070284,8.99686748127923,12.5149614895474,12.0159127646862,0.21589047138697
2008,2,281308,12.5472054334621,10.0887055511168,12.5158483714165,12.6181277832726,0.10919264336966
2008,3,280790,12.545362337964,11.1717584066538,12.5160428154924,13.2642734218929,-0.184309549806905
2008,4,276258,12.5290904906708,13.4142964225713,12.5155983939611,13.9455585755634,-1.62718472932344
2009,1,269060,12.5026896820395,16.2224454966552,12.5145870037105,14.6518843174163,-2.6400808631271
2009,2,269031,12.5025818935799,17.2493575104339,12.5130889741888,15.3728196817379,-0.0107788459677849
2009,3,269599,12.5046909488146,17.6060739804085,12.511177199018,16.0989153035516,0.210905523474025
2009,4,269543,12.5044832113347,18.1620860705915,12.5089180048949,16.8218946540238,-0.0207737479927417
2010,1,269468,12.5042049238768,18.6558346623033,12.50637366461,17.5344231784938,-0.0278287457895487
2010,2,269872,12.5057030514978,19.2857432113618,12.5036036792075,18.2300039419366,0.149812762102108
2010,3,269734,12.5051915671814,19.3766209338061,12.500666194269,18.902840891504,-0.0511484316366051
2010,4,269915,12.5058623736011,19.5485895161709,12.4976206674836,19.5477978113916,0.0670806419680758
2011,1,269494,12.5043014056325,19.9565674768384,12.4945293848985,20.1600345983214,-0.156096796859018
2011,2,268640,12.5011274723114,20.244682076118,12.4914597836272,20.7347116438308,-0.317393332115223
2011,3,266899,12.494625588664,21.2354868239228,12.4884854082961,21.2668621725063,-0.650188364739002
2011,4,265169,12.4881226375503,22.0412607999463,12.4856858458372,21.7512131404546,-0.650295111365118
2012,1,262682,12.4786994541026,22.9614587654365,12.4831445207952,22.1824718941894,-0.942318344769255
2012,2,260158,12.4690444177352,23.8704539027023,12.4809463807094,22.5555270600119,-0.965503636747655
2012,3,258832,12.4639344815695,24.6576573543744,12.4791735949527,22.8657541310175,-0.510993616568101
2012,4,256858,12.456278681994,25.1460742184148,12.477900894171,23.1093504295785,-0.765579957549711
2013,1,256037,12.4530772442681,25.4975294369507,12.4771934845642,23.2836332175817,-0.320143772591486
2013,2,255814,12.4522058968872,25.4525631961429,12.4771030584499,23.3871927092819,-0.0871347380815735
2013,3,255673,12.4516545632128,25.4286190659583,12.4776662354954,23.4200028040711,-0.0551333674449594
2013,4,256099,12.4533193674553,25.0757814215473,12.4789040746418,23.3833282578954,0.166480424247695
2014,1,257040,12.4569869937897,24.5186249198865,12.4808213775353,23.2796892118648,0.366762633446527
2014,2,258231,12.4616098121553,23.9367185231406,12.4834069553801,23.1126635903165,0.462281836554368
2014,3,260143,12.4689867588031,23.5035789933058,12.4866347228903,22.8866036524052,0.737694664781507
2014,4,262375,12.4775300571229,23.1286018470869,12.4904649715657,22.6063766916186,0.854329831983414
2015,1,265386,12.4889406489237,22.4562718507171,12.4948469629286,22.2772356110325,1.14105918007663
2015,2,268233,12.4996112847662,21.8813099821346,12.4997218741796,21.9047597044447,1.06706358424997
2015,3,270674,12.5086704237047,21.0783030025961,12.505027191073,21.4946401633032,0.905913893853949
2015,4,273297,12.5183143949075,20.4397832633204,12.5107003302451,21.0525535229792,0.964397120276494
2016,1,275149,12.5250680481001,19.8983891167048,12.5166809853521,20.5839161081185,0.67536531925505
2016,2,276304,12.5292569878245,19.6155723793547,12.522913608841,20.0937612619548,0.418893972439704
2016,3,278754,12.5380849514293,18.9061189704269,12.5293478950728,19.5866938733519,0.882796360484228
2016,4,280048,12.5427162960306,18.2600584849526,12.5359375030203,19.0670199631222,0.463134460132331
2017,1,282271,12.55062288137,17.7117422960392,12.5426415523169,18.5386201927637,0.790658533936472
2017,2,285303,12.5613070523934,16.9164598392665,12.5494233993412,18.0048708728505,1.06841710234331
2017,3,286950,12.5670632635365,16.3821341280317,12.5562513888027,17.4686315152714,0.575621114309399
2017,4,288746,12.5733026879083,16.2051292604855,12.563101292694,16.932081375019,0.623942437182734
2018,1,289836,12.5770705247561,15.8097525152434,12.5699556404294,16.396720646219,0.376783684775361
2018,2,291535,12.5829153461757,15.0999985633935,12.5768033372952,15.8635951779254,0.584482141957032
2018,3,293044,12.5880780473732,14.5850499505546,12.5836377353805,15.3333839641106,0.516270119752527
2018,4,295022,12.5948052088125,14.2285809752811,12.5904560067797,14.8062887508626,0.672716143928653
2019,1,296795,12.6007969437723,13.9146542893726,12.5972580987825,14.2820435755111,0.59917349598031
2019,2,297881,12.6044493568755,13.7538370631464,12.6040466769298,13.7600214080261,0.365241310320386
2019,3,299010,12.6082322966296,13.8068337062449,12.6108266185403,13.2393656000736,0.378293975413158
2019,4,300136,12.6119909842472,13.5285692110574,12.6176030526082,12.7192156381042,0.375868761754994
